> cov(F_ent)               result            v          adv          adj            n          ner       emprunt          negresult   0.2502262443 -0.031735120 -0.006152106  0.013426732  0.017525235  0.009885137  0.0003393665 -0.001914375v       -0.0317351201  0.084582753 -0.004239906 -0.012354246 -0.045557779 -0.006630700 -0.0119148103 -0.003263140adv     -0.0061521058 -0.004239906  0.075445962 -0.010287591 -0.027501740 -0.015898016 -0.0131112948 -0.005351549adj      0.0134267316 -0.012354246 -0.010287591  0.062741472 -0.025630874 -0.012069266 -0.0077815002  0.005699617n        0.0175252349 -0.045557779 -0.027501740 -0.025630874  0.144457014 -0.021719457 -0.0147624434 -0.008440654ner      0.0098851375 -0.006630700 -0.015898016 -0.012069266 -0.021719457  0.067316394 -0.0073616429 -0.003306648emprunt  0.0003393665 -0.011914810 -0.013111295 -0.007781500 -0.014762443 -0.007361643  0.0572768013 -0.002131918neg     -0.0019143752 -0.003263140 -0.005351549  0.005699617 -0.008440654 -0.003306648 -0.0021319179  0.016881309> cor(F_ent)             result           v         adv        adj           n         ner     emprunt         negresult   1.00000000 -0.21813874 -0.04477539  0.1071585  0.09217817  0.07616507  0.00283474 -0.02945490v       -0.21813874  1.00000000 -0.05307589 -0.1695891 -0.41214717 -0.08787352 -0.17118151 -0.08635583adv     -0.04477539 -0.05307589  1.00000000 -0.1495266 -0.26343463 -0.22308199 -0.19945191 -0.14995413adj      0.10715848 -0.16958912 -0.14952656  1.0000000 -0.26922584 -0.18571333 -0.12980655  0.17513191n        0.09217817 -0.41214717 -0.26343463 -0.2692258  1.00000000 -0.22025168 -0.16229291 -0.17092427ner      0.07616507 -0.08787352 -0.22308199 -0.1857133 -0.22025168  1.00000000 -0.11855638 -0.09808995emprunt  0.00283474 -0.17118151 -0.19945191 -0.1298065 -0.16229291 -0.11855638  1.00000000 -0.06856114neg     -0.02945490 -0.08635583 -0.14995413  0.1751319 -0.17092427 -0.09808995 -0.06856114  1.00000000





result	v	adv	adj	n	ner	emprunt	neg
0	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0
1	0	0	0.5	0	0	0	0.5
1	0	0.25	0.25	0.5	0	0	0
0	0	0	0	0.5	0.5	0	0
1	0.5	0	0	0	0	0	0.5
1	0	0.5	0	0.5	0	0	0
0	0.5	0	0	0	0	0	0.5
0	1	0	0	0	0	0	0
1	0	0	0	0.5	0	0.5	0
0	0	1	0	0	0	0	0
0	0	0	0	0.5	0.5	0	0
1	0	0	0	0.5	0	0.5	0
1	0.5	0.5	0	0	0	0	0
0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0
0	0.5	0	0	0	0	0.5	0
0	0	0	0	0	0	1	0
1	0	0	0	0.5	0	0.5	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
1	0.5	0.5	0	0	0	0	0
1	0	0.5	0	0.5	0	0	0
1	0	0.5	0.5	0	0	0	0
0	1	0	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
1	0.5	0	0	0	0.5	0	0
1	0.5	0	0	0.5	0	0	0
0	0	0	0.5	0.5	0	0	0
1	0.5	0	0	0	0.5	0	0
0	0.5	0	0	0	0.5	0	0
0	0	0.5	0	0	0.5	0	0
1	0.5	0.5	0	0	0	0	0
0	0.5	0	0	0	0.5	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0	0	0	1	0	0
0	0.5	0	0	0	0.5	0	0
1	0.5	0	0	0.5	0	0	0
0	0.5	0	0	0	0.5	0	0
0	0.5	0	0	0	0.5	0	0
1	0.5	0	0	0	0.5	0	0
1	0.5	0	0.5	0	0	0	0
0	0	0	0.5	0	0	0	0.5
0	1	0	0	0	0	0	0
0	0	0	0.5	0	0	0	0.5
0	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0
1	0.5	0.5	0	0	0	0	0
1	0.5	0.5	0	0	0	0	0
1	0.5	0	0	0	0.5	0	0
1	0.25	0	0	0	0.5	0.25	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0.5	0	0.5	0	0	0	0
1	0	0	0	0.5	0.5	0	0
1	0	0	0	0	1	0	0
1	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
1	1	0	0	0	0	0	0
0	0.5	0	0.5	0	0	0	0
0	0	0	0	0	0	1	0
0	0.5	0	0.5	0	0	0	0
0	0.5	0.5	0	0	0	0	0
1	0	0.5	0.5	0	0	0	0
0	0	0	0.5	0.5	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0	0	0.5	0	0	0
1	0	1	0	0	0	0	0
1	0	0.5	0	0.5	0	0	0
1	0	0	1	0	0	0	0
1	0	0	1	0	0	0	0
1	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
1	0	0.5	0.5	0	0	0	0
1	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
1	0	0	1	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
